City_ID,City,Lat,Lng,Max Temp(C),Humidity,Cloudiness,Wind Speed,Country,Date
164,menongue,-14.6585,17.691,17.48,97,100,2.76,AO,1701663501
165,eureka,40.8021,-124.1637,14.96,86,100,2.68,US,1701663501
166,labytnangi,66.6572,66.4183,-32.46,98,91,0.95,RU,1701663501
167,kapuskasing,49.4169,-82.4331,-10.95,85,0,3.09,CA,1701663501
168,bella union,-30.2752,-57.6007,17.12,90,100,8.06,UY,1701663502
169,carutapera,-1.195,-46.02,26.08,86,99,2.42,BR,1701663502
170,narvik,68.4384,17.4272,-8.19,93,80,1.59,NO,1701663502
171,xinzhou,38.4092,112.7333,6.53,19,49,0.79,CN,1701663502
172,kremnica,48.7052,18.9183,-12.61,98,70,0.89,SK,1701663502
173,lazaro cardenas,17.9583,-102.2,25.08,82,100,1.56,MX,1701663502
174,tolbazy,54.0241,55.8825,-1.91,92,100,8.87,RU,1701663503
175,piti village,13.4626,144.6933,31.49,70,40,8.23,GU,1701663503
176,hadibu,12.65,54.0333,25.98,59,100,7.38,YE,1701663503
177,sitka,57.0531,-135.33,7.94,76,100,4.63,US,1701663503
178,afaahiti,-17.75,-149.2833,28.93,83,100,10.95,PF,1701663503
179,sittwe,20.15,92.9,27.94,67,77,0.92,MM,1701663503
180,quillota,-32.8833,-71.2667,10.01,65,0,0.46,CL,1701663504
181,pulheim,51.0,6.8,0.91,77,100,0.45,DE,1701663504
182,san luis de la loma,17.2706,-100.8939,25.51,84,73,1.55,MX,1701663504
183,bathsheba,13.2167,-59.5167,27.34,78,20,5.66,BB,1701663504
184,fortuna,40.5982,-124.1573,14.81,92,100,6.69,US,1701663504
185,jamestown,42.097,-79.2353,5.77,96,100,8.23,US,1701663504
186,kotlas,61.2611,46.6556,-15.53,98,100,0.89,RU,1701663505
187,glace bay,46.1969,-59.957,2.31,79,75,3.09,CA,1701663505
188,sironko,1.2313,34.2477,18.67,73,96,1.48,UG,1701663505
189,punta umbria,37.1821,-6.9661,15.74,82,100,5.09,ES,1701663505
190,yelizovo,53.1873,158.3805,-3.92,42,40,2.0,RU,1701663505
191,selfoss,63.9331,-20.9971,-2.3,58,100,3.6,IS,1701663506
192,codrington,-38.2667,141.9667,27.22,31,87,6.54,AU,1701663506
193,severnoye,56.3491,78.3619,-21.68,88,7,4.47,RU,1701663506
194,bechar,31.6167,-2.2167,6.18,52,0,1.54,DZ,1701663506
195,el abiodh sidi cheikh,32.893,0.5484,4.69,36,32,1.9,DZ,1701663506
196,quixada,-4.9714,-39.0153,24.69,80,36,2.63,BR,1701663506
197,lompoc,34.6391,-120.4579,15.47,89,0,6.69,US,1701663507
198,bardai,11.65,7.2333,19.21,26,96,2.26,NG,1701663507
199,anadyr,64.75,177.4833,-19.72,76,20,5.0,RU,1701663507
200,hithadhoo,-0.6,73.0833,28.02,76,100,3.08,MV,1701663507
201,thompson,55.7435,-97.8558,-5.91,93,100,1.54,CA,1701663507
202,dudinka,69.4058,86.1778,-34.62,96,16,2.68,RU,1701663507
203,margate,51.3813,1.3862,5.94,73,100,1.79,GB,1701663507
204,ayr,55.4627,-4.6339,2.4,93,75,4.12,GB,1701663508
205,tofol,5.3248,163.0078,28.88,74,75,5.66,FM,1701663508
206,san antonio de pale,-1.4014,5.6325,26.33,84,56,3.17,GQ,1701663508
207,mount gambier,-37.8333,140.7667,27.49,26,50,5.35,AU,1701663508
208,akdepe,42.0551,59.3788,3.05,68,12,4.51,TM,1701663508
209,al jawf,29.5,38.75,15.75,50,65,3.95,SA,1701663508
210,abadan,30.3392,48.3043,8.97,87,0,1.03,IR,1701663508
211,whitehorse,60.7161,-135.0538,-12.21,92,75,2.06,CA,1701663478
212,celestun,20.8667,-90.4,25.28,88,90,3.73,MX,1701663509
213,berdigestyakh,62.0989,126.6992,-40.29,98,72,0.98,RU,1701663509
214,santa barbara,34.7333,-120.0343,12.41,64,0,2.57,US,1701663304
215,mammoth lakes,37.6485,-118.9721,5.19,36,0,1.34,US,1701663324
216,hamilton,39.1834,-84.5333,6.97,75,75,5.81,US,1701663024
217,almazan,41.4865,-2.5309,3.77,89,100,7.8,ES,1701663509
218,tarawa,1.419,172.984,31.05,70,20,4.12,KI,1701663510
219,dingwall,57.5953,-4.4272,1.15,96,86,2.02,GB,1701663510
220,yeniseysk,58.4497,92.1703,-8.09,89,100,5.73,RU,1701663510
221,freilassing,47.85,12.9833,-5.95,79,78,5.66,DE,1701663510
222,saint-joseph,-21.3667,55.6167,25.82,63,19,0.65,RE,1701663510
223,altai,46.3722,96.2583,-1.78,49,51,13.01,MN,1701663510
224,thinadhoo,0.5333,72.9333,27.92,77,100,2.99,MV,1701663511
225,tarfaya,27.9358,-12.9218,18.15,76,4,4.67,MA,1701663511
226,mont-tremblant,46.1949,-74.6264,-2.23,100,100,2.06,CA,1701663511
227,qaqortoq,60.7167,-46.0333,-3.68,73,100,4.26,GL,1701663511
228,cartagena,10.3997,-75.5144,26.79,89,0,2.06,CO,1701663498
229,fuling,29.7022,107.3919,15.6,69,71,1.69,CN,1701663511
230,defuniak springs,30.721,-86.1152,15.77,100,0,1.54,US,1701663512
231,tongliao,43.6125,122.2653,-0.57,71,7,2.81,CN,1701663512
232,porto novo,6.4965,2.6036,27.9,92,62,1.4,BJ,1701663512
233,yamada,39.4667,141.95,9.07,59,11,2.16,JP,1701663512
234,santa ana,33.7456,-117.8678,16.17,78,0,0.0,US,1701663229
235,port macquarie,-31.4333,152.9167,23.83,65,65,5.23,AU,1701663512
236,sur,22.5667,59.5289,26.02,51,42,6.22,OM,1701663513
237,bayanaul,50.7889,75.6956,-8.02,71,100,8.12,KZ,1701663513
238,gamboula,4.1178,15.1393,20.31,96,98,0.69,CF,1701663513
239,saynshand,44.8824,110.1163,-5.06,71,3,3.26,MN,1701663513
240,patnos,39.2336,42.8634,1.34,56,36,1.11,TR,1701663513
241,mawu,29.5923,107.3139,13.77,70,75,1.69,CN,1701663513
242,lata,40.1629,-8.3327,12.12,95,99,1.58,PT,1701663514
243,portovelo,-3.7167,-79.6167,21.71,91,95,0.34,EC,1701663514
244,santana,-0.0583,-51.1817,28.1,78,0,3.09,BR,1701663514
245,mogoditshane,-24.6269,25.8656,21.86,37,0,4.63,BW,1701663514
246,alvorada,-12.48,-49.1247,22.2,92,100,0.65,BR,1701663514
247,vyksa,55.3175,42.1744,-5.55,94,100,5.0,RU,1701663515
248,laminusa,5.5549,120.9136,28.6,74,75,4.01,PH,1701663515
249,rocha,-34.4833,-54.3333,14.26,47,92,4.41,UY,1701663326
250,manzini,-26.25,31.5,18.62,79,28,0.44,SZ,1701663515
251,lagunas,-5.2269,-75.6753,23.86,88,96,0.94,PE,1701663515
252,bulanash,57.2783,61.9965,-15.04,94,100,2.87,RU,1701663515
253,arraial do cabo,-22.9661,-42.0278,23.82,93,100,8.91,BR,1701663516
254,kirchdorf am inn,48.25,12.9833,-13.99,100,93,1.51,DE,1701663516
255,novodvinsk,64.4165,40.8122,-16.14,99,89,1.1,RU,1701663516
256,arti,56.4234,58.5328,-9.28,91,100,4.82,RU,1701663516
257,shahrak,34.1074,64.3052,2.3,33,0,1.71,AF,1701663516
258,sinop,41.7711,34.8709,10.75,62,100,2.14,TR,1701663516
259,pontianak,-0.0333,109.3333,30.99,66,75,0.0,ID,1701663516
260,taro,-8.3862,115.28,25.0,65,94,1.92,ID,1701663517
261,north side,19.35,-81.2,27.78,82,61,5.23,KY,1701663517
262,laramie,41.3114,-105.5911,1.21,69,100,7.2,US,1701663274
263,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,76,40,3.58,RU,1701663517
264,swakopmund,-22.6833,14.5333,16.1,86,93,1.79,NA,1701663517
265,cahors,44.4167,1.3333,3.96,76,100,4.17,FR,1701663517
266,necochea,-38.5473,-58.7368,9.2,67,0,2.55,AR,1701663518
267,flying fish cove,-10.4217,105.6791,27.82,74,100,5.66,CX,1701663518
268,luena,-11.7833,19.9167,17.11,97,100,2.46,AO,1701663518
269,touros,-5.1989,-35.4608,26.13,81,100,4.92,BR,1701663518
270,trairi,-3.2778,-39.2689,26.0,78,31,3.25,BR,1701663518
271,senanga,-16.1167,23.2667,21.24,69,65,2.33,ZM,1701663519
272,tamarin,-20.3256,57.3706,26.96,73,86,3.38,MU,1701663519
